GeneID,kME_MM.darkgrey,kME_MM.green,kME_MM.lightyellow,kME_MM.yellow,kME_MM.orange,kME_MM.darkturquoise,kME_MM.pink,kME_MM.purple,kME_MM.cyan,kME_MM.midnightblue,kME_MM.greenyellow,kME_MM.red,kME_MM.turquoise,kME_MM.grey60,kME_MM.magenta,kME_MM.salmon,kME_MM.tan,kME_MM.darkgreen,kME_MM.darkred,kME_MM.lightgreen,kME_MM.blue,kME_MM.brown,kME_MM.lightcyan,kME_MM.black,kME_MM.royalblue,kME_MM.grey
isoform_86622,-0.26342154,-0.233640468,-0.829821319,-0.538051847,-0.558020933,-0.512805575,0.168260257,0.091638961,-0.540053466,-0.480922299,-0.227955616,-0.70464822,-0.871054038,0.269918405,0.582426839,0.050148604,0.335430072,-0.071298228,0.498853326,0.683232726,0.764339104,0.816349871,-0.082090998,0.597869755,0.449622604,-0.186121221
isoform_20223,0.054151373,-0.086982958,-0.381897583,-0.299650292,-0.701954792,-0.723796515,-0.410817706,0.045912678,-0.239690135,0.028336132,-0.043450871,-0.038617529,-0.183633127,-0.064878786,0.272536329,0.683904093,0.833114744,0.321732474,0.644604752,0.343252892,0.009679673,0.344676177,-0.051006872,0.357016646,0.098662725,-0.064295682
isoform_278451,-0.622598595,-0.925955123,-0.781923663,-0.60553488,-0.713944132,-0.373660481,-0.324638705,0.413608034,-0.010945279,0.192143385,0.418452976,0.115792761,-0.376635656,-0.508429829,-0.200464191,0.211349484,-0.152706808,-0.260875321,0.193901725,0.346135727,0.204498814,0.422221082,0.77699045,0.925410714,0.668337211,-0.406754088
isoform_34441,0.429733656,0.750585049,0.66762705,0.898100415,0.55007463,0.085385947,0.016100672,-0.587145682,0.025072864,-0.374535943,0.041686101,-0.011973522,0.399350375,0.552112264,0.422982519,0.032366777,0.108322431,0.581139208,0.179845086,0.047852385,-0.146381087,-0.696107058,-0.674123001,-0.82835642,-0.808735359,0.042040492
isoform_64227,-0.276094885,-0.069933591,0.178785303,0.25486765,0.294427904,-0.149331681,-0.358477394,-0.533326042,-0.252745441,-0.219616413,0.432578924,0.325618352,0.1279738,-0.369771453,-0.094777836,-0.106315188,-0.156213772,0.249117194,-0.094173662,0.10263509,-0.015256607,-0.479985574,-0.046370416,-0.267720948,0.033663921,-0.303217366
isoform_74965,-0.66652981,-0.579954376,-0.90081338,-0.806472774,-0.33288678,-0.314601672,0.129779071,0.065928182,-0.646381113,-0.334231333,-0.044525146,-0.458413799,-0.882184557,-0.237225492,0.122565392,-0.316938197,-0.111148116,-0.369230648,0.018089243,0.478105108,0.734217837,0.805356797,0.245472851,0.692713891,0.89666625,-0.076348611
isoform_68174,-0.289014115,0.221869275,-0.326503353,0.008899586,0.279825495,-0.263592851,0.2602034,-0.623876221,-0.83636301,-0.905501975,-0.114800877,-0.667407097,-0.689155848,0.386285666,0.676152042,-0.421568238,0.020373624,0.186701879,0.19992029,0.628214643,0.798529891,0.252365623,-0.571627863,-0.151746207,0.1791355,-0.032167119
isoform_33211,-0.123327046,-0.330839313,-0.691139159,-0.737048488,-0.442292678,-0.096338614,0.478490385,0.457478517,-0.240359811,-0.253231212,-0.489071684,-0.69945692,-0.863398152,0.079369248,0.199416355,-0.273621683,0.038026543,-0.592862434,0.001173748,0.263437101,0.769719739,0.927740138,0.113124136,0.641694064,0.575912731,-0.444555671
isoform_54957,0.097716394,-0.257571012,0.231072131,0.033859369,-0.390132718,-0.16997106,-0.688520155,0.273649959,0.52261751,0.808594878,0.390618529,0.849781017,0.725045613,-0.551414471,-0.557753465,0.718249955,0.289576587,0.216759324,0.109220934,-0.378464391,-0.88200204,-0.379613911,0.489536053,0.132246628,-0.136401249,0.132073379
isoform_105773,0.657375653,0.733502107,0.205700911,0.115127573,0.143590875,0.156478396,0.61435955,0.03710946,-0.063381829,-0.326380438,-0.794627193,-0.684413303,-0.225511545,0.770442722,0.524122597,-0.116871357,0.417000878,-0.027441968,0.112420019,-0.037741513,0.291013263,0.319785019,-0.712682743,-0.357140139,-0.409885241,0.112660292
isoform_282332,-0.409327153,-0.704976069,-0.500952023,-0.621222321,-0.391224285,-0.104968,-0.073961455,0.366716623,-0.020430999,0.147054886,0.108792536,0.053298719,-0.371249689,-0.576035792,-0.347922721,-0.111825238,-0.216786319,-0.494576037,-0.19197646,0.045797876,0.260452493,0.402586774,0.575537425,0.64185506,0.654955271,-0.497731718
